Year,PRODUCTION,AREA,YIELD
1991,1106.2,81.34,13.599
1992,1207.6,82.26,14.68
1993,1310.2,87.37,14.995
1994,1304.7,83.49,15.55
1995,1354.3,81.54,16.609
1996,1320.5,81.25,16.252
1997,1535.625,87.75,17.5
1998,1459.899,84.397,17.298
1999,1437.325,84.466,17.017
2000,1178.64,89.01,17.079
2001,1354.12,77.29,17.52
2002,1357.14,77.6,17.489
2003,1449.65,78.7,18.42
2004,1737.69,94.44,18.4
2005,1871.42,98.79,18.943
2006,2182.28,103.36,21.113
2007,2360.98,107.73,21.916
2008,2412.83,118,20.447
2009,2678.23,120.1,22.3
2010,2899.63,128.24,22.661
2011,2989.871,131.61,22.718
2012,3026.914,132.812,22.791
2013,3633.057,125.48,28.951
2014,3107.6,140.055,22.127
2015,3814.71,131.76,28.951
2016,2176.31,204.35,10.65
2017,2300.68,224.31,10.26
2018,2645.8,251.2,10.532
2019,2910.38,276.32,10.53
2020,3056.89,290.136,10.536
