PARAMETER   YEAR    JAN  FEB  MAR  APR  MAY  JUN   JUL   AUG   SEP   OCT   NOV  DEC  ANN
PRECTOTCORR 1991   0.84 0.65 1.33 7.88 5.01  5.24 15.42  3.60  5.98  4.37 0.15 1.29 4.34
PRECTOTCORR 1992   0.00 0.14 2.03 5.72 7.97 10.74  7.88  4.54  9.44  5.12 1.31 0.05 4.58
PRECTOTCORR 1993   0.04 1.21 2.59 3.76 7.16 11.02  9.71  6.64 10.63  6.00 2.26 0.56 5.14
PRECTOTCORR 1994   0.85 1.22 4.99 6.40 5.60  7.51  9.51  5.93  9.86 10.75 1.54 0.00 5.37
PRECTOTCORR 1995   1.08 1.72 4.92 6.45 5.62  9.83 12.54 13.22 10.26  6.69 1.68 0.19 6.21
PRECTOTCORR 1996   0.03 1.61 5.11 4.33 6.59 11.72  8.29 11.00  6.48  5.44 0.56 0.15 5.12
PRECTOTCORR 1997   1.19 0.30 7.97 6.84 7.85 12.52  5.85  6.48  5.19  3.16 1.58 1.70 5.08
PRECTOTCORR 1998   0.22 0.55 0.40 6.98 6.10  6.27  3.76  6.78  7.30  8.00 1.01 0.04 3.96
PRECTOTCORR 1999   0.52 0.80 0.89 2.62 2.41  5.68  6.92  4.92  3.94  6.23 1.48 0.13 3.06
PRECTOTCORR 2000   0.03 0.01 1.54 2.63 5.24 12.46 14.79  3.48  5.37 11.39 2.14 0.26 4.96
PRECTOTCORR 2001   0.05 0.14 0.41 6.41 7.02  8.74  4.26  3.01  9.21  3.46 1.41 0.85 3.75
PRECTOTCORR 2002   0.28 0.07 2.97 8.64 3.68  6.59 13.41  4.53  4.17  8.49 1.01 0.04 4.52
PRECTOTCORR 2003   1.51 3.14 0.71 9.79 4.02  5.11  5.38  2.86 10.23  8.70 1.76 0.05 4.43
PRECTOTCORR 2004   1.53 0.59 0.88 6.41 8.28  5.02  6.46  4.57  7.79  4.06 1.61 0.01 3.94
PRECTOTCORR 2005   0.00 1.02 2.29 1.38 1.67  7.78  2.63  4.50  8.99  3.03 1.10 0.05 2.86
PRECTOTCORR 2006   0.35 0.86 1.45 1.29 5.47  4.09  7.16 15.92  9.23  3.00 0.97 0.01 4.18
PRECTOTCORR 2007   0.00 1.10 1.35 4.67 5.62 12.59  8.26 14.00 15.22  7.49 2.30 1.42 6.18
PRECTOTCORR 2008   0.09 0.52 1.67 2.95 2.54  8.39 12.77  6.31  9.81  4.69 0.60 0.74 4.26
PRECTOTCORR 2009   1.22 0.62 1.69 4.83 6.21  6.83  7.78  4.76  6.00  9.98 3.25 0.01 4.45
PRECTOTCORR 2010   0.55 0.90 1.44 3.78 6.35  7.86  6.89  9.86 15.64  7.09 3.55 2.16 5.52
PRECTOTCORR 2011   0.08 2.66 1.04 2.52 7.14  7.54  8.20  7.14  8.18  7.96 2.65 0.04 4.60
PRECTOTCORR 2012   0.26 2.06 1.70 5.71 6.91  7.95  7.84  6.18 12.90  7.34 3.81 1.50 5.34
PRECTOTCORR 2013   1.93 1.84 2.54 4.06 6.51  5.63  9.60  5.15  8.17  5.52 3.20 2.09 4.70
PRECTOTCORR 2014   1.86 1.54 2.01 3.87 6.87  3.52  6.27  7.47  8.45  7.59 2.38 0.07 4.35
PRECTOTCORR 2015   0.06 0.87 5.55 2.19 3.14  6.41  5.42  3.75  6.27  5.16 1.55 0.03 3.38
PRECTOTCORR 2016   0.80 0.06 4.28 3.53 5.79  8.81  7.85  7.96 12.93  8.84 1.47 0.43 5.24
PRECTOTCORR 2017   0.17 0.36 3.48 5.36 7.15  8.54 13.91  7.77  8.72  3.71 1.39 0.82 5.14
PRECTOTCORR 2018   0.03 2.79 2.27 2.25 5.28 13.45 10.41 11.96 13.02  6.30 4.16 0.04 6.00
PRECTOTCORR 2019   1.35 1.34 1.86 2.46 6.98 13.65  8.55 11.36 14.54 16.48 2.74 1.43 6.92
PRECTOTCORR 2020   0.01 0.02 3.63 4.25 3.98 10.77 10.15  2.80 17.47  5.32 3.72 0.86 5.23
